clause_text,clause_label
Each Party shall retain the financial records relating to all payments owed and/or paid under this Agreement for a period of six years from the date such payment obligation arose.,Post-Termination Services
"EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, EACH PARTY'S LIABILITY FOR DAMAGES HEREUNDER (OTHER THAN IN RESPECT OF ANY CLAIM FOR MONIES DUE) SHALL NOT EXCEED £200,000.",Uncapped Liability
"EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, EACH PARTY'S LIABILITY FOR DAMAGES HEREUNDER (OTHER THAN IN RESPECT OF ANY CLAIM FOR MONIES DUE) SHALL NOT EXCEED £200,000.",Cap On Liability
"ISA shall not contest ownership by Rubicon of any of the foregoing. Either Party may terminate this Agreement upon ten Business Day's Notice to the other Party in the event the other Party contests or challenges to a material degree any of the other Party's Intellectual Property rights referred to in Sections 5.1, and 5.3, respectively. Rubicon shall not contest ownership by ISA of any of the foregoing.",Covenant Not To Sue
"Except as set forth in Sections 10.3 and 10.4, nothing in this Agreement is intended to confer benefits, rights or remedies unto any person or entity other than the Parties and their permitted successors and assigns.",Third Party Beneficiary
"This Agreement shall be governed by and be --------- ---- construed in accordance with the laws of the Province of Ontario, Canada.",Governing Law
"During the life of the Reseller Agreement, ----------------------- it is the intention of ETI that the terms of the Reseller Agreement shall be no less favourable to Nortel than the terms in effect with any of Entrust's resellers of Entrust Products at the time the Reseller Agreement is executed. For so long as ETI remains a Subsidiary ----------------------- of NTL, it is the intention of ETI that the terms of the Source Code License be no less favourable to Nortel than the terms then in effect with any of Entrust's source code licensees that receives substantially similar rights taking into account the relative size of the licensee and Entrust's potential benefits.",Most Favored Nation
"Each Party's rights under this Agreement are ---------------- personal to that Party and that Party shall not assign, sublet or otherwise transfer any right or interest under this Agreement to anyone, without the prior written consent of the other Party, which shall not be unreasonably withheld.",Anti-Assignment
"Subject to the terms and -------------------------------- conditions of this Agreement, NTL, to the extent of its legal right to do so, hereby grants to Entrust under the Nortel Patents, a non-transferable, non- assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services. ETI, on behalf of Entrust, grants to NTL and its ------------ Affiliates (as defined in the Enterprise License) a non-exclusive, fully paid- up, worldwide, perpetual license to use an unlimited number of copies of the Entrust Products subject to the terms and conditions of an agreement to be concluded between NTL and ETI promptly after the Effective Date in substantially the form of the license set forth in Exhibit B (the ""Enterprise License"") save ------------------ as amended to comply with the provisions of this Article III. Subject to the terms and ----------------------------------- conditions of this Agreement, Entrust, to the extent of its legal right to do so, hereby grants to Nortel, under the Entrust Patents, an irrevocable, non- transferable, non-assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services. The licenses granted pursuant to<omitted>Sections 6.01 and 6.02 (each such license being a ""Patent License"") include the<omitted>following rights: (a) to make, use, lease, sell or otherwise dispose of, maintain and repair, Licensed Products, to license the use of Licensed Products made by or for Grantee, to practice any process involved in the manufacture or use of Licensed Products, and to provide Licensed Services; (b) to have made Licensed Products by another manufacturer for the use, lease, sale, disposal or transfer by Grantee, but only when both of the following conditions are met: (i) the designs, specifications and working drawings for the manufacture of such Licensed Products are furnished by Grantee; and (ii) such designs, specifications and working drawings are in sufficient detail that no additional design by the manufacturer is required other than adaptation to the production processes and standards normally used by the manufacturer which change the characteristics of the products only to a negligible extent;<omitted>(c) to make and have made, to use and have used, and to maintain machines, tools, materials and other manufacturing instrumentalities, and to use and have used methods and processes, insofar as such machines, tools, materials, other manufacturing instrumentalities, methods and processes are involved in or incidental to the development, manufacture, installation, testing, maintenance or repair of Licensed Products, or to the training of personnel in the use of such Licensed Products; provided, however, that the rights granted in this Section 6.03(c) shall not serve to enlarge the scope of the rights granted in Section 6.03(b);",License Grant
"The licenses granted hereunder do not --------------------------- include for the Grantee the right to grant sublicenses to any third party except as expressly provide in Section 6.03. Subject to the terms and -------------------------------- conditions of this Agreement, NTL, to the extent of its legal right to do so, hereby grants to Entrust under the Nortel Patents, a non-transferable, non- assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services. Subject to the terms and ----------------------------------- conditions of this Agreement, Entrust, to the extent of its legal right to do so, hereby grants to Nortel, under the Entrust Patents, an irrevocable, non- transferable, non-assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services.",Non-Transferable License
"Subject to the terms and ----------------------------------- conditions of this Agreement, Entrust, to the extent of its legal right to do so, hereby grants to Nortel, under the Entrust Patents, an irrevocable, non- transferable, non-assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services.<omitted>""Entrust Patents"" shall mean all Patents: (i) which are owned or controlled at --------------- any time during the Patent License Term by Entrust or any Entrust Subsidiary; or (ii) with respect to which, and to the extent to which, Entrust or any Entrust Subsidiary shall at any time during the Patent License Term have the right to grant the licenses and rights which are granted herein by Entrust. The Entrust Patents as of the Effective Date are set forth in Exhibit A of the NTL Transfer Agreement. Subject to the terms and -------------------------------- conditions of this Agreement, NTL, to the extent of its legal right to do so, hereby grants to Entrust under the Nortel Patents, a non-transferable, non- assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services.<omitted>""Nortel Patents"" shall mean all Patents other than Patents included in NTL -------------- Technology: (i) which are owned or controlled at any time during the Patent License Term by Nortel or any Nortel Subsidiary; or (ii) with respect to which, and to the extent to which, Nortel or any Nortel Subsidiary shall at any time during the Patent License Term have the right to grant the licenses and rights which are herein granted by Nortel including through cross licenses or otherwise.",Affiliate License-Licensor
"Any rights or license granted under this Article VI to a ----------------- corporation or other legal entity which becomes a Subsidiary of a Party at a date later than the Effective Date shall become effective as of the date upon which such corporation or other legal entity becomes a Subsidiary of such Party. ETI, on behalf of Entrust, grants to NTL and its ------------ Affiliates (as defined in the Enterprise License) a non-exclusive, fully paid- up, worldwide, perpetual license to use an unlimited number of copies of the Entrust Products subject to the terms and conditions of an agreement to be concluded between NTL and ETI promptly after the Effective Date in substantially the form of the license set forth in Exhibit B (the ""Enterprise License"") save ------------------ as amended to comply with the provisions of this Article III.",Affiliate License-Licensee
"ETI, on behalf of Entrust, grants to NTL and its ------------ Affiliates (as defined in the Enterprise License) a non-exclusive, fully paid- up, worldwide, perpetual license to use an unlimited number of copies of the Entrust Products subject to the terms and conditions of an agreement to be concluded between NTL and ETI promptly after the Effective Date in substantially the form of the license set forth in Exhibit B (the ""Enterprise License"") save ------------------ as amended to comply with the provisions of this Article III.",Unlimited/All-You-Can-Eat-License
"ETI, on behalf of Entrust, grants to NTL and its ------------ Affiliates (as defined in the Enterprise License) a non-exclusive, fully paid- up, worldwide, perpetual license to use an unlimited number of copies of the Entrust Products subject to the terms and conditions of an agreement to be concluded between NTL and ETI promptly after the Effective Date in substantially the form of the license set forth in Exhibit B (the ""Enterprise License"") save ------------------ as amended to comply with the provisions of this Article III. Subject to the terms and ----------------------------------- conditions of this Agreement, Entrust, to the extent of its legal right to do so, hereby grants to Nortel, under the Entrust Patents, an irrevocable, non- transferable, non-assignable, indivisible, non-exclusive, royalty-free, worldwide license for Licensed Products and Licensed Services.",Irrevocable Or Perpetual License
"Except for breach of Article ------------------------------- VIII and for Article XII, in no event shall either Party be liable to the other Party for any indirect, incidental and/or consequential damages resulting from a breach of this agreement, including without limitation lost business, lost savings, and lost profits even if the breaching Party has been advised of the possibility of the occurrence of such damages.",Uncapped Liability
"Notwithstanding any provision of the Source Code ----------------- License, ETI shall not be required to honour any product warranty or intellectual property indemnity set forth in the Source Code License, to the extent that such breach of warranty or indemnity relates to a defect in any of the Entrust Products as of the Effective Date or the infringement or misappropriation of any third party rights incorporated into the Entrust Products as of the Effective Date. Notwithstanding the foregoing, each of Nortel's and Entrust's liability to the other Party for breach of Article II shall not exceed U.S.$10,000,000. For any cause of action arising under this --------------- Agreement, Nortel's liability to Entrust, and Entrust's liability to Nortel shall not exceed U.S.$5,000,000. Except for breach of Article ------------------------------- VIII and for Article XII, in no event shall either Party be liable to the other Party for any indirect, incidental and/or consequential damages resulting from a breach of this agreement, including without limitation lost business, lost savings, and lost profits even if the breaching Party has been advised of the possibility of the occurrence of such damages. In no event shall either Party be liable for any special or punitive damages arising from breach of this Agreement. ETI's liability to Nortel arising from or relating to the intellectual property indemnity set forth in the Enterprise License shall not exceed 50% (fifty percent) of the monies paid by Nortel thereunder to a maximum of U.S.$1,000,000 (one million U.S. dollars).",Cap On Liability
"Each Grantor undertakes not to assert any -------------------- claim for Patent infringement with respect to use and maintenance of Licensed Products against any end user, customer or distributor of Grantee, or any subsequent vendee, lessee, or transferee to the extent the Licensed Products have been acquired from Grantee after the Effective Date and are used for the purpose for which they predominantly have been made (without modification or amendment).",Covenant Not To Sue
"After the Initial Term, this Agreement shall continue on a month to month basis until terminated by either party upon thirty (30) days prior written notice to the other setting forth the effective date of such termination.",Renewal Term
"The construction, interpretation, and performance of this Agreement and all transactions under it shall be governed by the laws of the State of Texas, irrespective of its conflict of law principles.",Governing Law
"Subcontractor, during the term of this Agreement and for a period of one year thereafter, shall not, directly or indirectly, for itself or on behalf of or in conjunction with any other person, partnership, corporation, business or organization, solicit, hire, contract with or engage the employment of an employee of EDGE with whom Subcontractor or its personnel have contact as a result of Subcontractor's performance of this Agreement, unless Subcontractor (i) obtains the written consent of EDGE, as applicable, and (ii) pays EDGE as applicable a fee to be mutually agreed upon In the event Subcontractor directly employs or contracts with an employee of EDGE without the consent of EDGE, Subcontractor shall pay as liquidated damages two times the then monthly salary of the employee for a three-month period of time.",No-Solicit Of Employees
"After the Initial Term, this Agreement shall continue on a month to month basis until terminated by either party upon thirty (30) days prior written notice to the other setting forth the effective date of such termination.",Termination For Convenience
"Subcontractor shall not assign any right or interest under this Agreement (excepting monies due, or to become due) or delegate or subcontract any Work or other obligation to be performed or owed under this Agreement without prior consent of EDGE.",Anti-Assignment
"Should the Agreement expire during the period of performance, all remaining Work of each Purchase Order will be completed under the terms of the Agreement then in effect on the date of award for each respective Purchase Order, unless modified in writing by mutual consent of the parties.",Post-Termination Services
"As set forth in the Exhibit, EDGE shall have the opportunity to review and inspect all elements of the Work in a reasonable manner.",Audit Rights
"In the event Subcontractor directly employs or contracts with an employee of EDGE without the consent of EDGE, Subcontractor shall pay as liquidated damages two times the then monthly salary of the employee for a three-month period of time.",Liquidated Damages
"If within one (1) year from the date of completion of Work acceptance, or within one (1) year from the completion of all other work or services and acceptance by EDGE (or within any longer materials warranty period as set forth above), any defects exists or arise, then in each case upon receipt of notice of such defect, Subcontractor shall (unless EDGE chooses another remedy) promptly cause such defect(s) to be repaired or remedied at Subcontractor's sole cost and expense, including but not limited to the costs of transportation, uncovering, removal, disposal, replacement, correction, installation and covering. These warranties extend to the future performance of the materials and shall continue for the longer of (a) the warranty period applicable to EDGE' sales to Customer of the material or of products which incorporate the material, (b) one year after the material is accepted by EDGE or (c) such greater period as may be specified elsewhere in this Agreement. Repaired and replacement material shall be warranted as set forth above in this clause.",Warranty Duration
